,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
138,Load Shed 100+ MW,2013,12/4/2013,5:00 AM,12/4/2013,4:17 PM,WECC - Loveland,Idaho,WECC,150,Unknown,load shedding,44.068203,-114.742043,,
139,Physical Attack - Vandalism,2013,11/24/2013,7:38 AM,11/24/2013,7:39 AM,Pacific Gas & Electric Co,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
140,Severe Weather - Wind Storm,2013,11/21/2013,7:45 PM,11/22/2013,3:20 AM,Pacific Gas & Electric Co,California,WECC,150,"89,500","severe weather, wind",36.778259,-119.417931,,
141,Physical Attack - Vandalism,2013,11/20/2013,3:08 AM,11/20/2013,3:09 AM,Pacific Gas & Electric Co,Utah,WECC,Unknown,Unknown,"vandalism, physical",39.41922,-111.950684,,
142,Severe Weather - Thunderstorms,2013,11/17/2013,2:31 PM,11/17/2013,10:30 PM,Commonwealth Edison Co,Illinois,RFC,Unknown,"190,000","severe weather, thunderstorm",40,-89,,
143,Severe Weather - Ice and Snow Storm,2013,11/17/2013,7:00 AM,11/20/2013,6:54 PM,Detroit Edison Co,Michigan,RFC,Unknown,"325,325","severe weather, winter storm",44.182205,-84.506836,,
144,Severe Weather - Thunderstorms,2013,11/17/2013,4:19 PM,11/18/2013,6:00 PM,American Electric Power,Michigan,RFC,Unknown,"77,346","severe weather, thunderstorm",44.182205,-84.506836,,
145,Severe Weather - Thunderstorms,2013,11/17/2013,4:47 PM,11/20/2013,4:47 PM,Duke Energy Midwest,Indiana,RFC,Unknown,"61,705","severe weather, thunderstorm",40.273502,-86.126976,,
146,Severe Weather - Thunderstorms,2013,11/17/2013,4:45 PM,11/21/2013,4:45 PM,Consumers Energy Co,Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",44.182205,-84.506836,,
147,System-wide voltage reductions of 3 percent or more,2013,11/17/2013,12:35 PM,11/17/2013,1:40 PM,City of Rochelle,Indiana,RFC,38,"7,500",voltage reduction,40.273502,-86.126976,,
148,Severe Weather - Thunderstorms,2013,11/17/2013,1:06 PM,11/20/2013,1:06 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"75,065","severe weather, thunderstorm",40.273502,-86.126976,,
149,Severe Weather - Tornadoes,2013,11/17/2013,4:47 PM,11/20/2013,11:59 AM,Duke Energy Indiana Inc,Indiana,RFC,535,"61,705","severe weather, tornado",40.273502,-86.126976,,
150,Severe Weather - Tornadoes,2013,11/17/2013,12:35 PM,11/20/2013,11:00 AM,Ameren Missouri,Illinois,SERC,Unknown,"200,000","severe weather, tornado",40,-89,,
151,Physical Attack - Vandalism,2013,11/16/2013,3:15 PM,11/16/2013,3:16 PM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
152,Electrical System Separation (Islanding),2013,11/12/2013,2:04 PM,11/12/2013,2:05 PM,Pacific Gas & Electric Co,California,WECC,55,"48,400",islanding,36.778259,-119.417931,,
153,Loss of Power from Wholesale Provider; Major Distribution Disruption,2013,11/12/2013,9:14 AM,11/12/2013,10:30 AM,"Farmers' Electric Coop, Inc",New Mexico,SPP,Unknown,Unknown,fuel supply emergency,34.307144,-106.018066,,
154,Physical Attack,2013,11/5/2013,10:10 AM,11/7/2013,10:10 AM,Duke Energy Indiana Inc,Indiana,RFC,Unknown,Unknown,"vandalism, physical",40.273502,-86.126976,,
155,Physical Attack - Vandalism,2013,11/4/2013,9:04 AM,11/4/2013,9:05 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical",41.599998,-72.699997,,
156,Physical Attack - Vandalism,2013,11/2/2013,8:25 AM,11/2/2013,8:26 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
157,Severe Weather - Heavy Winds,2013,11/2/2013,12:00 AM,11/4/2013,6:00 AM,Puget Sound Energy,Washington,WECC,Unknown,"105,000","severe weather, wind",47.751076,-120.740135,,
158,Physical Attack - Vandalism,2013,11/1/2013,1:26 PM,11/1/2013,1:27 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",39,-75.5,,
159,Severe Weather - Hail Storm,2013,10/27/2013,4:27 AM,10/27/2013,10:27 PM,CenterPoint Energy,Texas,TRE,Unknown,"171,117","severe weather, hail",31,-100,,
160,Suspected Physical Attack,2013,10/26/2013,7:13 AM,10/26/2013,7:14 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical",34.048927,-111.093735,,
161,Electrical System Separation (Islanding),2013,10/21/2013,5:18 AM,10/21/2013,5:33 AM,Pacific Gas & Electric Co,Unknown,WECC,115,433,islanding,,,,
162,Physical Attack,2013,10/19/2013,2:32 PM,10/19/2013,10:00 PM,Pacific Gas & Electric Co,California,WECC,Unknown,Unknown,"vandalism, physical",36.778259,-119.417931,,
163,Cyber Event with Potential to Cause Impact,2013,10/16/2013,11:15 AM,10/16/2013,6:00 PM,Duke Energy Progress,North Carolina,SERC,0,0,"vandalism, cyber",35.782169,-80.793457,,
164,Physical Attack,2013,10/11/2013,2:30 PM,10/11/2013,6:30 PM,MISO - Entergy,Arkansas,SERC,Unknown,Unknown,"vandalism, physical",34.799999,-92.199997,,
165,Physical Attack,2013,10/6/2013,7:25 AM,10/6/2013,9:15 AM,MISO - AECC,Arkansas,SPP,Unknown,"9,200","vandalism, physical",34.799999,-92.199997,,
166,Physcial Attack; Sabotage,2013,9/29/2013,12:00 AM,9/29/2013,1:00 AM,Entergy Systems Incorporated,Arkansas,SERC,Unknown,Unknown,"vandalism, physical",34.799999,-92.199997,,
167,Severe Weather - Thunderstorms,2013,9/11/2013,4:00 PM,9/15/2013,4:00 PM,Detroit Edison Co,Michigan,RFC,400,"75,000","severe weather, thunderstorm",44.182205,-84.506836,,
168,Load Shed of 100+ MW,2013,9/10/2013,5:42 PM,9/11/2013,12:02 AM,PJM Interconnection,Pennsylvania,RFC,105,Unknown,load shedding,41.203323,-77.194527,,
169,Severe Weather - Thunderstorms,2013,8/30/2013,7:30 PM,8/31/2013,1:30 AM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"157,000","severe weather, thunderstorm",40,-89,,
170,Electrical System Separation (Islanding); Severe Weather,2013,8/29/2013,2:57 PM,8/29/2013,3:29 PM,Xcel Energy,Wisconsin,MRO,15,"7,000","islanding, severe weather",44.5,-89.5,,
171,Physcial Attack; Vandalism,2013,8/29/2013,9:50 AM,8/29/2013,9:50 AM,Empire District Electric Co,Missouri,SPP,Unknown,Unknown,"vandalism, physical",38.573936,-92.60376,,
172,Physcial Attack; Vandalism,2013,8/28/2013,9:30 AM,8/28/2013,9:31 AM,PacifiCorp,Wyoming,WECC,,,"vandalism, physical",43.07597,-107.290283,,
173,Physcial Attack; Vandalism,2013,8/26/2013,8:15 PM,8/26/2013,8:16 PM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical",47.751076,-120.740135,,
174,Physcial Attack; Vandalism,2013,8/23/2013,7:30 AM,8/23/2013,7:31 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,,"vandalism, physical",39,-75.5,,
175,Physcial Attack; Vandalism,2013,8/22/2013,12:55 PM,8/22/2013,2:45 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",39,-75.5,,
176,Physcial Attack; Sabotage,2013,8/22/2013,8:40 AM,8/22/2013,11:49 AM,Constellation Energy Control & Dispatch - for Gila River,Arizona,WECC,,,"vandalism, physical",34.048927,-111.093735,,
177,Physcial Attack; Sabotage,2013,8/21/2013,2:00 PM,8/21/2013,2:01 PM,Entergy Arkansas Inc,Arkansas,SERC,,,"vandalism, physical",34.799999,-92.199997,,
178,Severe Weather - Lightning Strike,2013,8/19/2013,7:06 PM,8/20/2013,6:02 AM,Southern California Edison Co,California,WECC,685,"124,000","severe weather, thunderstorm",36.778259,-119.417931,,
179,Severe Weather - Thunderstorms,2013,8/16/2013,4:58 PM,8/17/2013,11:58 PM,CenterPoint Energy,Texas,TRE,Unknown,"219,681","severe weather, thunderstorm",31,-100,,
180,Suspicious Activity,2013,8/12/2013,11:55 AM,8/12/2013,11:59 AM,PacifiCorp,Oregon,WECC,Unknown,Unknown,vandalism,44,-120.5,,
181,Severe Weather - Thunderstorms,2013,8/7/2013,12:15 AM,8/7/2013,9:27 PM,We Energies,Wisconsin,MRO,220,"51,160","severe weather, thunderstorm",44.5,-89.5,,
182,Physcial Attack; Vandalism,2013,8/7/2013,2:30 PM,8/8/2013,1:00 PM,"Caithness Shepherds Flat, LLC",Oregon,WECC,Unknown,Unknown,"vandalism, physical",44,-120.5,,
183,Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/2013,7:30 AM,8/7/2013,9:14 AM,Wisconsin Public Service Corp,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, natural gas",44.5,-89.5,,
184,Physcial Attack; Vandalism,2013,8/6/2013,4:00 PM,8/6/2013,5:32 PM,El Paso Electric,New Mexico,WECC,Unknown,Unknown,"vandalism, physical",34.307144,-106.018066,,
185,Physical Attack; Vandalism,2013,8/4/2013,3:00 AM,8/4/2013,4:00 AM,Pacificorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
186,Physical Attack; Copper Theft,2013,8/1/2013,11:00 AM,8/1/2013,4:00 PM,Central Hudson Gas & Electric,New York,NPCC,,,"vandalism, physical",43,-75,,
187,Loss of 300+ MW Load,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Florida,FRCC,297,"104,498",load shedding,27.994402,-81.760254,,
188,Physical Attack; Vandalism,2013,7/25/2013,1:10 PM,7/25/2013,1:15 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
189,Severe Weather - Thunderstorms,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,Oklahoma,SPP,500,"92,748","severe weather, thunderstorm",36.084621,-96.921387,,
190,Physical Attack; Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical",36.778259,-119.417931,,
191,Severe Weather - Thunderstorms,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,"74,300","severe weather, thunderstorm",43,-75,,
192,Severe Weather - Thunderstorms,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm",44.182205,-84.506836,,
193,Public Appeal - Heatwave,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,New York,NPCC,Unknown,Unknown,"public appeal, severe weather, heat",43,-75,,
194,Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,California,WECC,200,"123,000",equipment failure,36.778259,-119.417931,,
195,Physical Attack; Vandalism,2013,7/18/2013,3:15 AM,7/18/2013,3:59 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
196,Fuel Supply Emergency (Natural Gas),2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,New York,NPCC,417,Unknown,"fuel supply emergency, natural gas",43,-75,,
197,Physical Attack; Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical",47.751076,-120.740135,,
198,Physical Attack; Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical",34.048927,-111.093735,,
199,Severe Weather - Thunderstorms,2013,7/10/2013,5:30 PM,7/11/2013,8:00 PM,American Electric Power,Ohio,RFC,,"122,314","severe weather, thunderstorm",40.367474,-82.996216,,
200,Physical Attack; Copper Theft,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,Massachusetts,NPCC,0,0,"vandalism, physical",42.407211,-71.382439,,
201,Physical Attack; Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","vandalism, physical",36.778259,-119.417931,,
202,Voltage Reduction; Line and Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,480,"393,000","voltage reduction, generator trip",18.2208,66.5901,,
203,Suspected Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,California,WECC,0,0,"vandalism, physical",36.778259,-119.417931,,
204,Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,California,WECC,240,"65,255",equipment failure,36.778259,-119.417931,,
205,Physical Attack; Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",39,-75.5,,
206,Physical Attack; Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical",44,-72.699997,,
207,Physical Attack; Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,Maryland,RFC,Unknown,Unknown,"vandalism, physical",39.045753,-76.641273,,
208,Severe Weather - Thunderstorms,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm",44.182205,-84.506836,,
209,Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm",40,-89,,
210,Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm",40.273502,-86.126976,,
211,Severe Weather - Fog,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"148,000","severe weather, fog",36.778259,-119.417931,,
212,Physical Attack; Vandalism,2013,6/22/2013,4:59 AM,6/22/2013,9:28 PM,PacifiCorp,Oregon,WECC,,,"vandalism, physical",44,-120.5,,
213,Suspected Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Montana,WECC,Unknown,Unknown,"vandalism, physical",46.96526,-109.533691,,
214,Physical Attack; Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",39,-75.5,,
215,Suspected Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,Iowa,MRO,Unknown,Unknown,"vandalism, cyber",42.032974,-93.581543,,
216,Physical Attack; Vandalism & Sabotage,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Nevada,WECC,Unknown,"1,100","vandalism, physical",39.876019,-117.224121,,
217,Severe Weather - Hailstorm,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,"193,000","severe weather, hail",46.39241,-94.63623,,
218,Severe Weather - Hailstorm,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minnesota,MRO,Unknown,"400,000","severe weather, hail",46.39241,-94.63623,,
219,Physcial Attack; Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,Maryland,RFC,Unknown,Unknown,"vandalism, physical",39.045753,-76.641273,,
220,Electrical System Separation (Islanding),2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding,43.07597,-107.290283,,
221,Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Florida,FRCC,180,37,load shedding,27.994402,-81.760254,,
222,Severe Weather - Thunderstorms,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Alabama,SERC,550,"165,798","severe weather, thunderstorm",32.31823,-86.902298,,
223,Severe Weather - Thunderstorms,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,"Ohio, Virginia, West Virginia","RFC, SERC",Unknown,"90,247","severe weather, thunderstorm",40.367474,-82.996216,,
224,Severe Weather - Thunderstorms,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm",35.782169,-80.793457,,
225,Severe Weather - Thunderstorms,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm",35.782169,-80.793457,,
226,Severe Weather - Thunderstorms,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,Virginia,SERC,900,"283,000","severe weather, thunderstorm",37.926868,-78.024902,,
227,Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,Maryland,RFC,700,"40,000","severe weather, thunderstorm",39.045753,-76.641273,,
228,Severe Weather - Thunderstorms,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm",38.573936,-92.60376,,
229,Transmission System Interruption,2013,5/31/2013,7:07 PM,6/1/2013,2:15 PM,Coffeyville Municipal Light and Power,Oklahoma,MRO,102,"6,300",transmission interruption,36.084621,-96.921387,,
230,Severe Weather - Tornados,2013,5/31/2013,6:00 PM,6/4/2013,10:30 AM,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"127,000","severe weather, tornado",36.084621,-96.921387,,
231,Severe Weather - Lightning,2013,5/31/2013,1:00 AM,5/31/2013,1:30 AM,"Southwest Power Pool, Inc.",Arkansas,SPP,,,"severe weather, thunderstorm",34.799999,-92.199997,,
232,Vandalism,2013,5/30/2013,10:15 AM,5/30/2013,10:16 AM,New York Power Authority,New York,NPCC,,,vandalism,43,-75,,
233,Severe Weather - Thunderstorms,2013,5/29/2013,8:58 PM,5/31/2013,2:53 PM,Niagara Mohawk Power Corp.,New York,NPCC,Unknown,"61,795","severe weather, thunderstorm",43,-75,,
234,Vandalism/Theft,2013,5/29/2013,9:52 AM,5/29/2013,9:53 AM,Delmarva Power & Light Company,Delaware,RFC,,,"vandalism, physical",39,-75.5,,
235,Physical Attack,2013,5/29/2013,12:00 AM,5/29/2013,12:02 AM,Dominion Virginia Power,Virginia,SERC,Unknown,Unknown,"vandalism, physical",37.926868,-78.024902,,
236,Vandalism/Theft,2013,5/28/2013,1:00 PM,5/28/2013,6:00 PM,ISO New England,Maine,NPCC,None,None,"vandalism, physical",45.367584,-68.972168,,
237,System Wide Voltage Reduction,2013,5/22/2013,10:51 AM,5/22/2013,10:57 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,280,"197,287",voltage reduction,18.2208,66.5901,,
238,Generator Trip; Load Shed 100+ MW,2013,5/20/2013,5:22 PM,5/20/2013,9:09 PM,Entergy Transmission - SOC,Louisiana,SERC,103,"21,800","load shedding, generator trip",30.39183,-92.329102,,
239,Severe Weather - Tornados,2013,5/20/2013,3:00 PM,5/22/2013,5:00 PM,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"41,306","severe weather, tornado",36.084621,-96.921387,,
240,Vandalism,2013,5/17/2013,8:35 AM,5/17/2013,8:36 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,39,-75.5,,
241,Vandalism,2013,5/15/2013,2:11 PM,5/15/2013,2:12 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,39,-75.5,,
242,Vandalism/Theft,2013,5/14/2013,12:01 AM,5/14/2013,1:59 PM,PacifiCorp,Oregon,WECC,,,"vandalism, physical",44,-120.5,,
243,Vandalism,2013,5/14/2013,10:25 AM,5/14/2013,11:42 AM,Northeast Utilities/Public Service of New Hampshire,New Hampshire,NPCC,,,vandalism,44,-71.5,,
244,Fuel Supply Emergency - Hydro,2013,5/13/2013,12:52 PM,Ongoing,Ongoing,California Department of Water Resources,California,WECC,176,Unknown,"fuel supply emergency, hydro",36.778259,-119.417931,,
245,Electrical System Separation (Islanding),2013,5/9/2013,1:21 PM,5/9/2013,4:21 PM,WECC,Washington,WECC,Unknown,Unknown,islanding,47.751076,-120.740135,,
246,Electrical System Separation (Islanding),2013,5/2/2013,6:52 AM,5/2/2013,10:07 AM,WECC,Unknown,WECC,Unknown,Unknown,islanding,,,,
247,Electrical System Separation (Islanding),2013,5/1/2013,9:22 AM,5/1/2013,9:24 AM,Xcel Energy/Public Service Company of Colorado,Colorado,WECC,123,"35,230",islanding,39.113014,-105.358887,,
248,Vandalism,2013,4/25/2013,4:00 PM,4/26/2013,10:55 AM,City and County of San Francisco,California,WECC,0,0,vandalism,36.778259,-119.417931,,
249,Vandalism,2013,4/23/2013,11:00 AM,4/23/2013,11:01 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,39,-75.5,,
250,Electrical System Separation (Islanding),2013,4/23/2013,12:49 AM,4/23/2013,4:04 AM,Pacific Gas & Electric Co,California,WECC,80,1,islanding,36.778259,-119.417931,,
251,Suspected Physical Attack,2013,4/21/2013,2:11 AM,4/21/2013,12:30 PM,Tennessee Valley Authority,Tennessee,SERC,,,"vandalism, physical",35.860119,-86.660156,,
252,Severe Weather - Storms and Wind,2013,4/18/2013,3:00 PM,4/21/2013,3:30 AM,Detroit Edison Co,Michigan,RFC,Unknown,"99,188","severe weather, wind",44.182205,-84.506836,,
253,Suspected Physical Attack,2013,4/17/2013,3:36 PM,4/17/2013,4:53 PM,Tennessee Valley Authority,Alabama,SERC,Unknown,Unknown,"vandalism, physical",32.31823,-86.902298,,
254,"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/2013,1:47 AM,4/18/2013,3:25 PM,Pacific Gas & Electric Co,California,WECC,,0,vandalism,36.778259,-119.417931,,
255,Vandalism,2013,4/9/2013,11:30 AM,4/9/2013,11:31 AM,Delmarva Power & Light Company,Delaware,RFC,,,vandalism,39,-75.5,,
256,Sabotage; Vandalism,2013,4/3/2013,11:05 AM,4/3/2013,2:00 PM,Colorado Springs Utilities,Colorado,WECC,0,0,vandalism,39.113014,-105.358887,,
257,Vandalism - Copper Wire Theft,2013,4/1/2013,8:40 AM,4/1/2013,8:41 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical",41.599998,-72.699997,,
258,Suspected Physical Attack,2013,3/29/2013,10:16 AM,3/29/2013,10:17 AM,Baltimore Gas and Electric,Maryland,RFC,Unknown,Unknown,"vandalism, physical",39.045753,-76.641273,,
259,Vandalism,2013,3/28/2013,1:01 PM,3/28/2013,1:02 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism,39,-75.5,,
260,Physical Attack; Vandalism,2013,3/27/2013,10:25 AM,3/27/2013,12:19 PM,ISO New England,Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical",42.407211,-71.382439,,
261,Vandalism,2013,3/23/2013,7:00 AM,3/23/2013,9:00 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,vandalism,41.599998,-72.699997,,
262,Suspected Physical Attack,2013,3/18/2013,5:50 PM,3/18/2013,6:07 PM,Jacksonville Electric Authority (JEA),Florida,FRCC,0,0,"vandalism, physical",27.994402,-81.760254,,
263,Severe Weather - Thunderstorms,2013,3/18/2013,7:30 PM,3/20/2013,2:30 PM,Southern Company,"Alabama, Georgia",SERC,800,"240,000","severe weather, thunderstorm",32.31823,-86.902298,,
264,Generator Trip; Load Shed,2013,3/18/2013,5:21 AM,3/18/2013,5:41 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,350,"262,937","load shedding, generator trip",18.2208,66.5901,,
